Player,Pos,40yd,Round
Will Dissly,TE,4.87,4
Luke Falk,QB,NA,6
Trey Quinn,WR,4.55,7
Derrius Guice,RB,4.49,2
Caleb Wilson,TE,4.56,7
Kyler Murray,QB,NA,1
Keesean Johnson,WR,4.6,6
Andy Isabella,WR,4.31,2
Hakeem Butler,WR,4.48,4
Qadree Ollison,RB,4.58,5
Miles Boykin,WR,4.42,3
Marquise Brown,WR,NA,1
Justice Hill,RB,4.4,4
Trace McSorley,QB,4.57,6
Dawson Knox,TE,NA,3
Devin Singletary,RB,4.66,3
Tommy Sweeney,TE,4.83,7
Will Grier,QB,4.84,3
Terry Godwin,WR,4.55,7
Jordan Scarlett,RB,4.47,5
Riley Ridley,WR,4.58,4
David Montgomery,RB,4.63,3
Drew Sample,TE,4.71,2
Rodney Anderson,RB,NA,6
Ryan Finley,QB,4.73,4
Trayveon Williams,RB,4.51,6
Mike Weber,RB,4.47,7
Tony Pollard,RB,4.52,4
Drew Lock,QB,4.69,2
Noah Fant,TE,4.5,1
Isaac Nauta,TE,4.91,7
T.J. Hockenson,TE,4.7,1
Travis Fulgham,WR,4.58,6
Dexter Williams,RB,4.57,6
Jace Sternberger,TE,4.75,3
Kahale Warring,TE,4.67,3
Parris Campbell,WR,4.31,2
Josh Oliver,TE,4.63,3
Gardner Minshew,QB,4.97,6
Ryquell Armstead,RB,4.45,5
Mecole Hardman,WR,4.33,2
Darrell Henderson,RB,4.49,3
Myles Gaskin,RB,4.58,7
Alexander Mattison,RB,4.67,3
Irv Smith,TE,4.63,2
Bisi Johnson,WR,4.51,7
Dillon Mitchell,WR,4.46,7
Jarrett Stidham,QB,4.81,4
N'Keal Harry,WR,4.53,1
Damien Harris,RB,4.57,3
Alize Mack,TE,4.7,7
Darius Slayton,WR,4.39,5
Daniel Jones,QB,4.81,1
Trevon Wesco,TE,4.89,4
Hunter Renfrow,WR,4.59,5
Foster Moreau,TE,4.66,4
Josh Jacobs,RB,NA,1
Clayton Thorson,QB,NA,5
Miles Sanders,RB,4.49,2
J.J. Arcega-Whiteside,WR,NA,2
Diontae Johnson,WR,4.53,3
Zach Gentry,TE,4.9,5
Jalen Hurd,WR,NA,3
Deebo Samuel,WR,4.48,2
Kaden Smith,TE,4.92,6
D.K. Metcalf,WR,4.33,2
Gary Jennings,WR,4.42,4
Travis Homer,RB,4.48,6
A.J. Brown,WR,4.49,2
Terry McLaurin,WR,4.35,3
Bryce Love,RB,NA,4
Dwayne Haskins,QB,5.04,1
Kelvin Harmon,WR,4.6,6
John Parker Wilson,QB,4.75,Undrafted
Drew Willy,QB,4.9,Undrafted
Tyrell Sutton,RB,4.64,Undrafted
Kory Sperry,TE,4.69,Undrafted
Kory Sheets,RB,4.39,Undrafted
Greg Orton,WR,4.61,Undrafted
Kevin Ogletree,WR,4.36,Undrafted
Jordan Norwood,WR,4.58,Undrafted
Jeremiah Johnson,RB,4.57,Undrafted
Ian Johnson,RB,4.41,Undrafted
Brian Hoyer,QB,5.02,Undrafted
P.J. Hill,RB,4.63,Undrafted
Graham Harrell,QB,4.95,Undrafted
Arian Foster,RB,4.69,Undrafted
Chase Daniel,QB,4.79,Undrafted
Quan Cosby,WR,4.5,Undrafted
Rudy Carpenter,QB,4.89,Undrafted
Hunter Cantwell,QB,5.22,Undrafted
Jared Bronson,TE,4.7,Undrafted
Kahlil Bell,RB,4.74,Undrafted
Jaison Williams,WR,4.47,Undrafted
Nate Swift,WR,4.63,Undrafted
David Richmond,WR,4.59,Undrafted
Mike Reilly,QB,4.74,Undrafted
Jason Boltus,QB,4.82,Undrafted
Nathan Brown,QB,4.86,Undrafted
Jeremy Childs,WR,4.47,Undrafted
Cullen Harper,QB,4.86,Undrafted
Chase Holbrook,QB,5.12,Undrafted
Taurus Johnson,WR,4.49,Undrafted
Aaron Kelly,WR,4.49,Undrafted
Anthony Kimble,RB,4.54,Undrafted
Marlon Lucky,RB,4.5,Undrafted
Brennan Marion,WR,4.52,Undrafted
Andrew Means,WR,4.36,Undrafted
Branden Ore,RB,4.61,Undrafted
Darius Passmore,WR,4.46,Undrafted
Stephen Williams,WR,4.5,Undrafted
Keiland Williams,RB,4.52,Undrafted
